	x		sin(x)	sin'(x)	delta_y	dub_y
      0.39	      0.38	      0.49	     -0.29	     -0.59	
      0.40	      0.39	      0.49	     -0.29	     -0.58	
      0.41	      0.40	      0.49	     -0.28	     -0.57	
      0.42	      0.41	      0.49	     -0.28	     -0.56	
      0.43	      0.42	      0.49	     -0.27	     -0.55	
      0.44	      0.43	      0.49	     -0.26	     -0.54	
      0.45	      0.43	      0.49	     -0.26	     -0.53	
      0.46	      0.44	      0.49	     -0.25	     -0.52	
      0.47	      0.45	      0.49	     -0.25	     -0.51	
      0.48	      0.46	      0.49	     -0.24	     -0.50	
      0.49	      0.47	      0.48	     -0.24	     -0.49	
      0.50	      0.48	      0.48	     -0.23	     -0.48	
      0.51	      0.49	      0.48	     -0.23	     -0.47	
      0.52	      0.50	      0.48	     -0.22	     -0.46	
      0.53	      0.51	      0.48	     -0.22	     -0.45	
      0.54	      0.51	      0.48	     -0.21	     -0.44	
      0.55	      0.52	      0.48	     -0.20	     -0.43	
      0.56	      0.53	      0.48	     -0.20	     -0.41	
      0.57	      0.54	      0.48	     -0.19	     -0.40	
      0.58	      0.55	      0.48	     -0.19	     -0.39	
      0.59	      0.56	      0.48	     -0.18	     -0.38	
      0.60	      0.56	      0.48	     -0.18	     -0.37	
      0.61	      0.57	      0.48	     -0.17	     -0.36	
      0.62	      0.58	      0.48	     -0.17	     -0.35	
      0.63	      0.59	      0.48	     -0.16	     -0.34	
      0.64	      0.60	      0.47	     -0.15	     -0.33	
      0.65	      0.61	      0.47	     -0.15	     -0.32	
      0.66	      0.61	      0.47	     -0.14	     -0.30	
      0.67	      0.62	      0.47	     -0.14	     -0.29	
      0.68	      0.63	      0.47	     -0.13	     -0.28	
      0.69	      0.64	      0.47	     -0.13	     -0.27	
      0.70	      0.64	      0.47	     -0.12	     -0.26	
      0.71	      0.65	      0.47	     -0.12	     -0.25	
      0.72	      0.66	      0.47	     -0.11	     -0.24	
      0.73	      0.67	      0.47	     -0.10	     -0.23	
      0.74	      0.67	      0.47	     -0.10	     -0.21	
      0.75	      0.68	      0.46	     -0.09	     -0.20	
      0.76	      0.69	      0.46	     -0.09	     -0.19	
      0.77	      0.70	      0.46	     -0.08	     -0.18	
      0.78	      0.70	      0.46	     -0.08	     -0.17	
      0.79	      0.71	      0.46	     -0.07	     -0.16	
      0.80	      0.72	      0.46	     -0.07	     -0.14	
      0.81	      0.72	      0.46	     -0.06	     -0.13	
      0.82	      0.73	      0.46	     -0.05	     -0.12	
      0.83	      0.74	      0.46	     -0.05	     -0.11	
      0.84	      0.74	      0.46	     -0.04	     -0.10	
      0.85	      0.75	      0.46	     -0.04	     -0.08	
      0.86	      0.76	      0.45	     -0.03	     -0.07	
      0.87	      0.76	      0.45	     -0.03	     -0.06	
      0.88	      0.77	      0.45	     -0.02	     -0.05	
      0.89	      0.78	      0.45	     -0.02	     -0.04	
      0.90	      0.78	      0.45	     -0.01	     -0.02	
      0.91	      0.79	      0.45	     -0.00	     -0.01	
      0.92	      0.80	      0.45	      0.00	      0.00	
      0.93	      0.80	      0.45	      0.01	      0.01	
      0.94	      0.81	      0.45	      0.01	      0.03	
      0.95	      0.81	      0.44	      0.02	      0.04	
      0.96	      0.82	      0.44	      0.02	      0.05	
      0.97	      0.82	      0.44	      0.03	      0.07	
      0.98	      0.83	      0.44	      0.03	      0.08	
      0.99	      0.84	      0.44	      0.04	      0.09	
      1.00	      0.84	      0.44	      0.05	      0.10	
      1.01	      0.85	      0.44	      0.05	      0.12	
      1.02	      0.85	      0.44	      0.06	      0.13	
      1.03	      0.86	      0.43	      0.06	      0.14	
      1.04	      0.86	      0.43	      0.07	      0.16	
      1.05	      0.87	      0.43	      0.07	      0.17	
      1.06	      0.87	      0.43	      0.08	      0.18	
      1.07	      0.88	      0.43	      0.08	      0.20	
      1.08	      0.88	      0.43	      0.09	      0.21	
      1.09	      0.89	      0.43	      0.10	      0.22	
      1.10	      0.89	      0.43	      0.10	      0.24	
      1.11	      0.90	      0.42	      0.11	      0.25	
      1.12	      0.90	      0.42	      0.11	      0.27	
      1.13	      0.90	      0.42	      0.12	      0.28	
      1.14	      0.91	      0.42	      0.12	      0.29	
      1.15	      0.91	      0.42	      0.13	      0.31	
      1.16	      0.92	      0.42	      0.13	      0.32	
      1.17	      0.92	      0.42	      0.14	      0.34	
      1.18	      0.92	      0.41	      0.15	      0.35	
      1.19	      0.93	      0.41	      0.15	      0.37	
      1.20	      0.93	      0.41	      0.16	      0.38	
      1.21	      0.94	      0.41	      0.16	      0.40	
      1.22	      0.94	      0.41	      0.17	      0.41	
      1.23	      0.94	      0.41	      0.17	      0.43	
      1.24	      0.95	      0.41	      0.18	      0.44	
      1.25	      0.95	      0.40	      0.18	      0.46	
      1.26	      0.95	      0.40	      0.19	      0.47	
      1.27	      0.96	      0.40	      0.20	      0.49	
      1.28	      0.96	      0.40	      0.20	      0.50	
      1.29	      0.96	      0.40	      0.21	      0.52	
      1.30	      0.96	      0.40	      0.21	      0.53	
      1.31	      0.97	      0.40	      0.22	      0.55	
      1.32	      0.97	      0.39	      0.22	      0.57	
      1.33	      0.97	      0.39	      0.23	      0.58	
      1.34	      0.97	      0.39	      0.23	      0.60	
      1.35	      0.98	      0.39	      0.24	      0.61	
      1.36	      0.98	      0.39	      0.24	      0.63	
      1.37	      0.98	      0.39	      0.25	      0.65	
      1.38	      0.98	      0.38	      0.26	      0.66	
      1.39	      0.98	      0.38	      0.26	      0.68	
      1.40	      0.99	      0.38	      0.27	      0.70	
      1.41	      0.99	      0.38	      0.27	      0.72	
      1.42	      0.99	      0.38	      0.28	      0.73	
      1.43	      0.99	      0.38	      0.28	      0.75	
      1.44	      0.99	      0.38	      0.29	      0.77	
      1.45	      0.99	      0.37	      0.29	      0.79	
      1.46	      0.99	      0.37	      0.30	      0.80	
      1.47	      0.99	      0.37	      0.30	      0.82	
      1.48	      1.00	      0.37	      0.31	      0.84	
      1.49	      1.00	      0.37	      0.31	      0.86	
      1.50	      1.00	      0.36	      0.32	      0.88	
      1.51	      1.00	      0.36	      0.33	      0.90	
      1.52	      1.00	      0.36	      0.33	      0.92	
      1.53	      1.00	      0.36	      0.34	      0.93	
      1.54	      1.00	      0.36	      0.34	      0.95	
      1.55	      1.00	      0.36	      0.35	      0.97	
      1.56	      1.00	      0.35	      0.35	      0.99	
      1.57	      1.00	      0.35	      0.36	      1.01	
      1.58	      1.00	      0.35	      0.36	      1.03	
      1.59	      1.00	      0.35	      0.37	      1.05	
      1.60	      1.00	      0.35	      0.37	      1.07	
      1.61	      1.00	      0.35	      0.38	      1.10	
      1.62	      1.00	      0.34	      0.38	      1.12	
      1.63	      1.00	      0.34	      0.39	      1.14	
      1.64	      1.00	      0.34	      0.39	      1.16	
      1.65	      1.00	      0.34	      0.40	      1.18	
      1.66	      1.00	      0.34	      0.40	      1.20	
      1.67	      1.00	      0.33	      0.41	      1.23	
      1.68	      0.99	      0.33	      0.42	      1.25	
      1.69	      0.99	      0.33	      0.42	      1.27	
      1.70	      0.99	      0.33	      0.43	      1.29	
      1.71	      0.99	      0.33	      0.43	      1.32	
      1.72	      0.99	      0.33	      0.44	      1.34	
      1.73	      0.99	      0.32	      0.44	      1.36	
      1.74	      0.99	      0.32	      0.45	      1.39	
      1.75	      0.98	      0.32	      0.45	      1.41	
      1.76	      0.98	      0.32	      0.46	      1.44	
      1.77	      0.98	      0.32	      0.46	      1.46	
      1.78	      0.98	      0.31	      0.47	      1.49	
      1.79	      0.98	      0.31	      0.47	      1.51	
      1.80	      0.97	      0.31	      0.48	      1.54	
      1.81	      0.97	      0.31	      0.48	      1.56	
      1.82	      0.97	      0.31	      0.49	      1.59	
      1.83	      0.97	      0.30	      0.49	      1.62	
      1.84	      0.96	      0.30	      0.50	      1.65	
      1.85	      0.96	      0.30	      0.50	      1.67	
      1.86	      0.96	      0.30	      0.51	      1.70	
      1.87	      0.96	      0.30	      0.51	      1.73	
      1.88	      0.95	      0.29	      0.52	      1.76	
      1.89	      0.95	      0.29	      0.52	      1.79	
      1.90	      0.95	      0.29	      0.53	      1.82	
      1.91	      0.94	      0.29	      0.53	      1.85	
      1.92	      0.94	      0.29	      0.54	      1.88	
      1.93	      0.94	      0.28	      0.54	      1.91	
      1.94	      0.93	      0.28	      0.55	      1.94	
      1.95	      0.93	      0.28	      0.55	      1.97	
      1.96	      0.93	      0.28	      0.56	      2.00	
      1.97	      0.92	      0.28	      0.56	      2.04	
      1.98	      0.92	      0.27	      0.57	      2.07	
      1.99	      0.91	      0.27	      0.57	      2.10	
      2.00	      0.91	      0.27	      0.58	      2.14	
      2.01	      0.91	      0.27	      0.58	      2.17	
      2.02	      0.90	      0.26	      0.58	      2.21	
      2.03	      0.90	      0.26	      0.59	      2.24	
      2.04	      0.89	      0.26	      0.59	      2.28	
      2.05	      0.89	      0.26	      0.60	      2.32	
      2.06	      0.88	      0.26	      0.60	      2.35	
      2.07	      0.88	      0.25	      0.61	      2.39	
      2.08	      0.87	      0.25	      0.61	      2.43	
      2.09	      0.87	      0.25	      0.62	      2.47	
      2.10	      0.86	      0.25	      0.62	      2.51	
      2.11	      0.86	      0.25	      0.63	      2.55	
      2.12	      0.85	      0.24	      0.63	      2.59	
      2.13	      0.85	      0.24	      0.64	      2.64	
      2.14	      0.84	      0.24	      0.64	      2.68	
      2.15	      0.84	      0.24	      0.65	      2.73	
      2.16	      0.83	      0.23	      0.65	      2.77	
      2.17	      0.83	      0.23	      0.65	      2.82	
      2.18	      0.82	      0.23	      0.66	      2.86	
      2.19	      0.81	      0.23	      0.66	      2.91	
      2.20	      0.81	      0.23	      0.67	      2.96	
      2.21	      0.80	      0.22	      0.67	      3.01	
      2.22	      0.80	      0.22	      0.68	      3.06	
      2.23	      0.79	      0.22	      0.68	      3.11	
      2.24	      0.78	      0.22	      0.69	      3.16	
      2.25	      0.78	      0.21	      0.69	      3.22	
      2.26	      0.77	      0.21	      0.69	      3.27	
      2.27	      0.77	      0.21	      0.70	      3.33	
      2.28	      0.76	      0.21	      0.70	      3.39	
      2.29	      0.75	      0.21	      0.71	      3.44	
      2.30	      0.75	      0.20	      0.71	      3.50	
      2.31	      0.74	      0.20	      0.72	      3.57	
      2.32	      0.73	      0.20	      0.72	      3.63	
      2.33	      0.73	      0.20	      0.72	      3.69	
      2.34	      0.72	      0.19	      0.73	      3.76	
      2.35	      0.71	      0.19	      0.73	      3.83	
      2.36	      0.70	      0.19	      0.74	      3.89	
      2.37	      0.70	      0.19	      0.74	      3.96	
      2.38	      0.69	      0.18	      0.75	      4.04	
      2.39	      0.68	      0.18	      0.75	      4.11	
      2.40	      0.68	      0.18	      0.75	      4.19	
      2.41	      0.67	      0.18	      0.76	      4.27	
      2.42	      0.66	      0.18	      0.76	      4.35	
      2.43	      0.65	      0.17	      0.77	      4.43	
      2.44	      0.65	      0.17	      0.77	      4.51	
      2.45	      0.64	      0.17	      0.77	      4.60	
      2.46	      0.63	      0.17	      0.78	      4.69	
      2.47	      0.62	      0.16	      0.78	      4.78	
      2.48	      0.61	      0.16	      0.79	      4.88	
      2.49	      0.61	      0.16	      0.79	      4.97	
      2.50	      0.60	      0.16	      0.79	      5.07	
      2.51	      0.59	      0.15	      0.80	      5.18	
      2.52	      0.58	      0.15	      0.80	      5.29	
      2.53	      0.57	      0.15	      0.81	      5.40	
      2.54	      0.57	      0.15	      0.81	      5.51	
      2.55	      0.56	      0.14	      0.81	      5.63	
      2.56	      0.55	      0.14	      0.82	      5.75	
      2.57	      0.54	      0.14	      0.82	      5.87	
      2.58	      0.53	      0.14	      0.82	      6.01	
      2.59	      0.52	      0.13	      0.83	      6.14	
      2.60	      0.52	      0.13	      0.83	      6.28	
      2.61	      0.51	      0.13	      0.84	      6.42	
      2.62	      0.50	      0.13	      0.84	      6.58	
      2.63	      0.49	      0.13	      0.84	      6.73	
      2.64	      0.48	      0.12	      0.85	      6.89	
      2.65	      0.47	      0.12	      0.85	      7.06	
      2.66	      0.46	      0.12	      0.85	      7.24	
      2.67	      0.45	      0.12	      0.86	      7.42	
      2.68	      0.45	      0.11	      0.86	      7.61	
      2.69	      0.44	      0.11	      0.87	      7.81	
      2.70	      0.43	      0.11	      0.87	      8.02	
      2.71	      0.42	      0.11	      0.87	      8.24	
      2.72	      0.41	      0.10	      0.88	      8.47	
      2.73	      0.40	      0.10	      0.88	      8.71	
      2.74	      0.39	      0.10	      0.88	      8.96	
      2.75	      0.38	      0.10	      0.89	      9.22	
      2.76	      0.37	      0.09	      0.89	      9.50	
      2.77	      0.36	      0.09	      0.89	      9.79	
      2.78	      0.35	      0.09	      0.90	     10.10	
      2.79	      0.34	      0.09	      0.90	     10.43	
      2.80	      0.33	      0.08	      0.90	     10.78	
      2.81	      0.33	      0.08	      0.91	     11.14	
      2.82	      0.32	      0.08	      0.91	     11.53	
      2.83	      0.31	      0.08	      0.91	     11.95	
      2.84	      0.30	      0.07	      0.92	     12.39	
      2.85	      0.29	      0.07	      0.92	     12.87	
      2.86	      0.28	      0.07	      0.92	     13.37	
      2.87	      0.27	      0.07	      0.93	     13.92	
      2.88	      0.26	      0.06	      0.93	     14.51	
      2.89	      0.25	      0.06	      0.93	     15.14	
      2.90	      0.24	      0.06	      0.93	     15.83	
      2.91	      0.23	      0.06	      0.94	     16.58	
      2.92	      0.22	      0.05	      0.94	     17.40	
      2.93	      0.21	      0.05	      0.94	     18.30	
      2.94	      0.20	      0.05	      0.95	     19.29	
      2.95	      0.19	      0.05	      0.95	     20.38	
      2.96	      0.18	      0.04	      0.95	     21.60	
      2.97	      0.17	      0.04	      0.96	     22.96	
      2.98	      0.16	      0.04	      0.96	     24.50	
      2.99	      0.15	      0.04	      0.96	     26.24	
      3.00	      0.14	      0.03	      0.96	     28.24	
      3.01	      0.13	      0.03	      0.97	     30.56	
      3.02	      0.12	      0.03	      0.97	     33.27	
      3.03	      0.11	      0.03	      0.97	     36.49	
      3.04	      0.10	      0.02	      0.97	     40.38	
      3.05	      0.09	      0.02	      0.98	     45.17	
      3.06	      0.08	      0.02	      0.98	     51.20	
      3.07	      0.07	      0.02	      0.98	     59.05	
      3.08	      0.06	      0.01	      0.99	     69.66	
      3.09	      0.05	      0.01	      0.99	     84.84	
      3.10	      0.04	      0.01	      0.99	    108.30	
      3.11	      0.03	      0.01	      0.99	    149.40	
      3.12	      0.02	      0.00	      1.00	    240.03	
      3.13	      0.01	      0.00	      1.00	    605.51	
      3.14	      0.00	     -0.00	      1.00	  -1175.80	
      3.15	     -0.01	     -0.00	      1.00	   -299.39	
      3.16	     -0.02	     -0.01	      1.01	   -171.89	
      3.17	     -0.03	     -0.01	      1.01	   -120.73	
      3.18	     -0.04	     -0.01	      1.01	    -93.14	
      3.19	     -0.05	     -0.01	      1.01	    -75.88	
      3.20	     -0.06	     -0.02	      1.02	    -64.06	
      3.21	     -0.07	     -0.02	      1.02	    -55.46	
      3.22	     -0.08	     -0.02	      1.02	    -48.93	
      3.23	     -0.09	     -0.02	      1.02	    -43.79	
      3.24	     -0.10	     -0.03	      1.02	    -39.64	
      3.25	     -0.11	     -0.03	      1.03	    -36.23	
      3.26	     -0.12	     -0.03	      1.03	    -33.37	
      3.27	     -0.13	     -0.03	      1.03	    -30.93	
      3.28	     -0.14	     -0.04	      1.03	    -28.84	
      3.29	     -0.15	     -0.04	      1.04	    -27.02	
      3.30	     -0.16	     -0.04	      1.04	    -25.42	
      3.31	     -0.17	     -0.04	      1.04	    -24.00	
      3.32	     -0.18	     -0.05	      1.04	    -22.74	
      3.33	     -0.19	     -0.05	      1.04	    -21.61	
      3.34	     -0.20	     -0.05	      1.05	    -20.59	
      3.35	     -0.21	     -0.05	      1.05	    -19.67	
      3.36	     -0.22	     -0.06	      1.05	    -18.83	
      3.37	     -0.23	     -0.06	      1.05	    -18.05	
      3.38	     -0.24	     -0.06	      1.05	    -17.35	
      3.39	     -0.25	     -0.06	      1.05	    -16.70	
      3.40	     -0.26	     -0.07	      1.06	    -16.09	
      3.41	     -0.27	     -0.07	      1.06	    -15.53	
      3.42	     -0.27	     -0.07	      1.06	    -15.01	
      3.43	     -0.28	     -0.07	      1.06	    -14.53	
      3.44	     -0.29	     -0.08	      1.06	    -14.08	
      3.45	     -0.30	     -0.08	      1.07	    -13.65	
      3.46	     -0.31	     -0.08	      1.07	    -13.26	
      3.47	     -0.32	     -0.08	      1.07	    -12.88	
      3.48	     -0.33	     -0.09	      1.07	    -12.53	
      3.49	     -0.34	     -0.09	      1.07	    -12.20	
      3.50	     -0.35	     -0.09	      1.07	    -11.88	
      3.51	     -0.36	     -0.09	      1.07	    -11.58	
      3.52	     -0.37	     -0.10	      1.08	    -11.30	
      3.53	     -0.38	     -0.10	      1.08	    -11.03	
      3.54	     -0.39	     -0.10	      1.08	    -10.78	
      3.55	     -0.40	     -0.10	      1.08	    -10.53	
      3.56	     -0.41	     -0.11	      1.08	    -10.30	
      3.57	     -0.42	     -0.11	      1.08	    -10.08	
      3.58	     -0.42	     -0.11	      1.08	     -9.87	
      3.59	     -0.43	     -0.11	      1.09	     -9.67	
      3.60	     -0.44	     -0.11	      1.09	     -9.47	
      3.61	     -0.45	     -0.12	      1.09	     -9.29	
      3.62	     -0.46	     -0.12	      1.09	     -9.11	
      3.63	     -0.47	     -0.12	      1.09	     -8.94	
      3.64	     -0.48	     -0.12	      1.09	     -8.77	
      3.65	     -0.49	     -0.13	      1.09	     -8.61	
      3.66	     -0.50	     -0.13	      1.09	     -8.46	
      3.67	     -0.50	     -0.13	      1.10	     -8.32	
      3.68	     -0.51	     -0.13	      1.10	     -8.17	
      3.69	     -0.52	     -0.14	      1.10	     -8.04	
      3.70	     -0.53	     -0.14	      1.10	     -7.91	
      3.71	     -0.54	     -0.14	      1.10	     -7.78	
      3.72	     -0.55	     -0.14	      1.10	     -7.66	
      3.73	     -0.56	     -0.15	      1.10	     -7.54	
      3.74	     -0.56	     -0.15	      1.10	     -7.42	
      3.75	     -0.57	     -0.15	      1.10	     -7.31	
      3.76	     -0.58	     -0.15	      1.10	     -7.20	
      3.77	     -0.59	     -0.16	      1.11	     -7.10	
      3.78	     -0.60	     -0.16	      1.11	     -7.00	
      3.79	     -0.60	     -0.16	      1.11	     -6.90	
      3.80	     -0.61	     -0.16	      1.11	     -6.80	
      3.81	     -0.62	     -0.17	      1.11	     -6.71	
      3.82	     -0.63	     -0.17	      1.11	     -6.62	
      3.83	     -0.64	     -0.17	      1.11	     -6.53	
      3.84	     -0.64	     -0.17	      1.11	     -6.45	
      3.85	     -0.65	     -0.17	      1.11	     -6.36	
      3.86	     -0.66	     -0.18	      1.11	     -6.28	
      3.87	     -0.67	     -0.18	      1.11	     -6.20	
      3.88	     -0.67	     -0.18	      1.11	     -6.13	
      3.89	     -0.68	     -0.18	      1.11	     -6.05	
      3.90	     -0.69	     -0.19	      1.11	     -5.98	
      3.91	     -0.69	     -0.19	      1.11	     -5.91	
      3.92	     -0.70	     -0.19	      1.11	     -5.84	
      3.93	     -0.71	     -0.19	      1.11	     -5.77	
      3.94	     -0.72	     -0.20	      1.11	     -5.70	
      3.95	     -0.72	     -0.20	      1.12	     -5.64	
      3.96	     -0.73	     -0.20	      1.12	     -5.58	
      3.97	     -0.74	     -0.20	      1.12	     -5.51	
      3.98	     -0.74	     -0.20	      1.12	     -5.45	
      3.99	     -0.75	     -0.21	      1.12	     -5.39	
      4.00	     -0.76	     -0.21	      1.12	     -5.34	
      4.01	     -0.76	     -0.21	      1.12	     -5.28	
      4.02	     -0.77	     -0.21	      1.12	     -5.22	
      4.03	     -0.78	     -0.22	      1.12	     -5.17	
      4.04	     -0.78	     -0.22	      1.12	     -5.12	
      4.05	     -0.79	     -0.22	      1.12	     -5.07	
      4.06	     -0.79	     -0.22	      1.12	     -5.01	
      4.07	     -0.80	     -0.22	      1.12	     -4.96	
      4.08	     -0.81	     -0.23	      1.12	     -4.92	
      4.09	     -0.81	     -0.23	      1.12	     -4.87	
      4.10	     -0.82	     -0.23	      1.12	     -4.82	
      4.11	     -0.82	     -0.23	      1.12	     -4.77	
      4.12	     -0.83	     -0.24	      1.12	     -4.73	
      4.13	     -0.84	     -0.24	      1.12	     -4.68	
      4.14	     -0.84	     -0.24	      1.12	     -4.64	
      4.15	     -0.85	     -0.24	      1.12	     -4.60	
      4.16	     -0.85	     -0.24	      1.12	     -4.56	
      4.17	     -0.86	     -0.25	      1.12	     -4.51	
      4.18	     -0.86	     -0.25	      1.11	     -4.47	
      4.19	     -0.87	     -0.25	      1.11	     -4.43	
      4.20	     -0.87	     -0.25	      1.11	     -4.40	
      4.21	     -0.88	     -0.26	      1.11	     -4.36	
      4.22	     -0.88	     -0.26	      1.11	     -4.32	
      4.23	     -0.89	     -0.26	      1.11	     -4.28	
      4.24	     -0.89	     -0.26	      1.11	     -4.24	
      4.25	     -0.89	     -0.26	      1.11	     -4.21	
      4.26	     -0.90	     -0.27	      1.11	     -4.17	
      4.27	     -0.90	     -0.27	      1.11	     -4.14	
      4.28	     -0.91	     -0.27	      1.11	     -4.10	
      4.29	     -0.91	     -0.27	      1.11	     -4.07	
      4.30	     -0.92	     -0.27	      1.11	     -4.04	
      4.31	     -0.92	     -0.28	      1.11	     -4.00	
      4.32	     -0.92	     -0.28	      1.11	     -3.97	
      4.33	     -0.93	     -0.28	      1.11	     -3.94	
      4.34	     -0.93	     -0.28	      1.11	     -3.91	
      4.35	     -0.94	     -0.29	      1.11	     -3.88	
      4.36	     -0.94	     -0.29	      1.10	     -3.85	
      4.37	     -0.94	     -0.29	      1.10	     -3.82	
      4.38	     -0.95	     -0.29	      1.10	     -3.79	
      4.39	     -0.95	     -0.29	      1.10	     -3.76	
      4.40	     -0.95	     -0.30	      1.10	     -3.73	
      4.41	     -0.95	     -0.30	      1.10	     -3.70	
      4.42	     -0.96	     -0.30	      1.10	     -3.67	
      4.43	     -0.96	     -0.30	      1.10	     -3.64	
      4.44	     -0.96	     -0.30	      1.10	     -3.62	
      4.45	     -0.97	     -0.31	      1.10	     -3.59	
      4.46	     -0.97	     -0.31	      1.09	     -3.56	
      4.47	     -0.97	     -0.31	      1.09	     -3.54	
      4.48	     -0.97	     -0.31	      1.09	     -3.51	
      4.49	     -0.98	     -0.31	      1.09	     -3.48	
      4.50	     -0.98	     -0.32	      1.09	     -3.46	
      4.51	     -0.98	     -0.32	      1.09	     -3.43	
      4.52	     -0.98	     -0.32	      1.09	     -3.41	
      4.53	     -0.98	     -0.32	      1.09	     -3.39	
      4.54	     -0.99	     -0.32	      1.08	     -3.36	
      4.55	     -0.99	     -0.32	      1.08	     -3.34	
      4.56	     -0.99	     -0.33	      1.08	     -3.31	
      4.57	     -0.99	     -0.33	      1.08	     -3.29	
      4.58	     -0.99	     -0.33	      1.08	     -3.27	
      4.59	     -0.99	     -0.33	      1.08	     -3.24	
      4.60	     -0.99	     -0.33	      1.08	     -3.22	
      4.61	     -0.99	     -0.34	      1.07	     -3.20	
      4.62	     -1.00	     -0.34	      1.07	     -3.18	
      4.63	     -1.00	     -0.34	      1.07	     -3.16	
      4.64	     -1.00	     -0.34	      1.07	     -3.13	
      4.65	     -1.00	     -0.34	      1.07	     -3.11	
      4.66	     -1.00	     -0.35	      1.07	     -3.09	
      4.67	     -1.00	     -0.35	      1.07	     -3.07	
      4.68	     -1.00	     -0.35	      1.06	     -3.05	
      4.69	     -1.00	     -0.35	      1.06	     -3.03	
      4.70	     -1.00	     -0.35	      1.06	     -3.01	
      4.71	     -1.00	     -0.35	      1.06	     -2.99	
      4.72	     -1.00	     -0.36	      1.06	     -2.97	
      4.73	     -1.00	     -0.36	      1.05	     -2.95	
      4.74	     -1.00	     -0.36	      1.05	     -2.93	
      4.75	     -1.00	     -0.36	      1.05	     -2.91	
      4.76	     -1.00	     -0.36	      1.05	     -2.89	
      4.77	     -1.00	     -0.36	      1.05	     -2.87	
      4.78	     -1.00	     -0.37	      1.05	     -2.85	
      4.79	     -1.00	     -0.37	      1.04	     -2.84	
      4.80	     -1.00	     -0.37	      1.04	     -2.82	
      4.81	     -1.00	     -0.37	      1.04	     -2.80	
      4.82	     -0.99	     -0.37	      1.04	     -2.78	
      4.83	     -0.99	     -0.37	      1.04	     -2.76	
      4.84	     -0.99	     -0.38	      1.03	     -2.75	
      4.85	     -0.99	     -0.38	      1.03	     -2.73	
      4.86	     -0.99	     -0.38	      1.03	     -2.71	
      4.87	     -0.99	     -0.38	      1.03	     -2.69	
      4.88	     -0.99	     -0.38	      1.02	     -2.68	
      4.89	     -0.98	     -0.38	      1.02	     -2.66	
      4.90	     -0.98	     -0.39	      1.02	     -2.64	
      4.91	     -0.98	     -0.39	      1.02	     -2.63	
      4.92	     -0.98	     -0.39	      1.02	     -2.61	
      4.93	     -0.98	     -0.39	      1.01	     -2.59	
      4.94	     -0.97	     -0.39	      1.01	     -2.58	
      4.95	     -0.97	     -0.39	      1.01	     -2.56	
      4.96	     -0.97	     -0.40	      1.01	     -2.54	
      4.97	     -0.97	     -0.40	      1.00	     -2.53	
      4.98	     -0.96	     -0.40	      1.00	     -2.51	
      4.99	     -0.96	     -0.40	      1.00	     -2.50	
      5.00	     -0.96	     -0.40	      1.00	     -2.48	
      5.01	     -0.96	     -0.40	      0.99	     -2.47	
      5.02	     -0.95	     -0.40	      0.99	     -2.45	
      5.03	     -0.95	     -0.41	      0.99	     -2.44	
      5.04	     -0.95	     -0.41	      0.99	     -2.42	
      5.05	     -0.94	     -0.41	      0.98	     -2.40	
      5.06	     -0.94	     -0.41	      0.98	     -2.39	
